iter	Passed	Remaining
180	43813	198251
181	44055	198007
182	44276	197673
183	44505	197371
184	44816	197435
185	45053	197169
186	45265	196793
187	45472	196404
188	45611	195719
189	45869	195549
190	46062	195101
191	46238	194586
192	46539	194599
193	46812	194489
194	47144	194620
195	47413	194493
196	47645	194210
197	47889	193975
198	48164	193867
199	48419	193677
200	48662	193439
201	48899	193176
202	49115	192833
203	49342	192532
204	49603	192363
205	49799	191946
206	49999	191543
207	50237	191288
208	50427	190854
209	50613	190402
210	50873	190233
211	51124	190029
212	51386	189863
213	51615	189577
214	51856	189337
215	52100	189105
216	52313	188761
217	52580	188612
218	52839	188437
219	53079	188191
220	53370	188125
221	53646	188003
222	53873	187713
223	54123	187498
224	54355	187223
225	54582	186932
226	54874	186863
227	55097	186558
228	55315	186238
229	55578	186066
230	55855	185944
231	56093	185687
232	56369	185559
233	56546	185104
234	56748	184734
235	56908	184228
236	57207	184173
237	57434	183886
238	57726	183805
239	57971	183575
240	58203	183304
241	58433	183025
242	58689	182829
243	58954	182661
244	59189	182400
245	59431	182161
246	59668	181903
247	59939	181752
248	60139	181384
249	60346	181040
250	60611	180868
251	60805	180485
252	60993	180088
253	61222	179811
254	61428	179468
255	61668	179224
256	61946	179091
257	62175	178813
258	62346	178374
259	62494	177868
260	62714	177569
261	62943	177298
262	63170	177021
263	63361	176644
264	63601	176404
265	63878	176265
266	64123	176039
267	64340	175736
268	64554	175424
269	64798	175195
270	65028	174929
271	65278	174715
272	65530	174507
273	65732	174165
274	65903	173746
275	66051	173265
276	66260	172947
277	66475	172646
278	66690	172344
279	66899	172028
280	67174	171881
281	67404	171618
282	67658	171417
283	67866	171100
284	68088	170819
285	68299	170510
286	68500	170178
287	68742	169947
288	68955	169644
289	69153	169306
290	69397	169082
291	69578	168704
292	69766	168344
293	69921	167905
294	70147	167639
295	70316	167239
296	70551	166995
297	70770	166714
298	70998	166455
299	71180	166088
300	71330	165648
301	71564	165405
302	71714	164966
303	71877	164562
304	72080	164249
305	72251	163864
306	72471	163591
307	72606	163128
308	72812	162826
309	73106	162721
310	73301	162394
311	73434	161932
312	73662	161680
313	73791	161214
314	74009	160940
315	74139	160480
316	74285	160053
317	74419	159603
318	74544	159137
319	74692	158721
320	74846	158319
321	74988	157894
322	75138	157488
323	75281	157068
324	75469	156744
325	75618	156339
326	75750	155902
327	75890	155482
328	76090	155188
329	76228	154766
330	76370	154355
331	76522	153967
332	76656	153542
333	76792	153124
334	76938	152728
335	77076	152318
336	77261	152000
337	77478	151747
338	77678	151460
339	77812	151048
340	78025	150787
341	78159	150376
342	78294	149968
343	78433	149569
344	78713	149441
345	78961	149250
346	79169	148984
347	79342	148654
348	79467	148232
349	79678	147975
350	79816	147581
351	80000	147273
352	80129	146865
353	80265	146473
354	80412	146102
355	80554	145722
356	80775	145485
357	80987	145234
358	81186	144959
359	81361	144641
360	81603	144445
361	81827	144215
362	82086	144046
363	82348	143883
364	82596	143694
365	82805	143439
366	83025	143201
367	83314	143083
368	83539	142854
369	83779	142650
370	84025	142459
371	84271	142265
372	84569	142158
373	84780	141905
374	85015	141691
375	85242	141466
376	85413	141147
377	85590	140839
378	85722	140458
379	85943	140224
380	86076	139845
381	86211	139472
382	86441	139253
383	86594	138911
384	86743	138565
385	86892	138217
386	87031	137856
387	87186	137520
388	87331	137170
389	87480	136828
390	87620	136473
391	87774	136140
392	87983	135893
393	88125	135543
394	88278	135211
395	88433	134883
396	88584	134550
397	88737	134221
398	88916	133931
399	89063	133595
400	89206	133254
401	89349	132913
402	89506	132594
403	89684	132306
404	89838	131984
405	89988	131658
406	90136	131329
407	90278	130991
408	90420	130655
409	90571	130334
410	90716	130004
411	90853	129664
412	91113	129500
413	91243	129151
414	91378	128810
415	91523	128485
416	91663	128152
417	91804	127823
418	91997	127566
419	92288	127446
420	92522	127245
421	92751	127039
422	92950	126790
423	93234	126657
424	93493	126490
425	93716	126275
426	93946	126068
427	94214	125912
428	94410	125660
429	94659	125479
430	94899	125285
431	95111	125054
432	95362	124874
433	95593	124667
434	95761	124380
435	95980	124158
436	96119	123833
437	96359	123639
438	96502	123320
439	96643	123000
440	96785	122682
441	96933	122372
442	97084	122067
443	97241	121771
444	97435	121520
445	97589	121220
446	97743	120921
447	97896	120622
448	98046	120319
449	98200	120023
450	98357	119730
451	98510	119433
452	98660	119133
453	98812	118836
454	99040	118631
455	99181	118322
456	99331	118024
457	99470	117713
458	99615	117411
459	99804	117161
460	99950	116861
461	100234	116722
462	100426	116476
463	100650	116268
464	100863	116047
465	101001	115739
466	101139	115433
467	101316	115171
468	101452	114864
469	101642	114618
470	101781	114314
471	101956	114052
472	102117	113775
473	102289	113511
474	102429	113212
475	102599	112945
476	102816	112731
477	102965	112443
478	103110	112151
479	103252	111857
480	103416	111586
481	103560	111295
482	103711	111012
483	103859	110726
484	104003	110436
485	104152	110152
486	104297	109865
487	104439	109575
488	104588	109293
489	104732	109007
490	104879	108723
491	105025	108440
492	105178	108165
493	105352	107911
494	105497	107628
495	105645	107349
496	105791	107068
497	105940	106790
498	106082	106507
499	106225	106225
500	106375	105951
501	106524	105675
502	106679	105406
503	106821	105125
504	106968	104850
505	107118	104577
506	107262	104300
507	107407	104024
508	107551	103747
509	107699	103475
510	107847	103204
511	107995	102932
512	108137	102656
513	108280	102382
514	108430	102113
515	108578	101844
516	108729	101578
517	108877	101310
518	109114	101125
519	109392	100977
520	109624	100787
521	109915	100651
522	110187	100496
523	110442	100325
524	110684	100143
525	110950	99982
526	111168	99777
527	111429	99611
528	111632	99393
529	111875	99210
530	112058	98974
531	112304	98794
532	112583	98642
533	112790	98427
534	113015	98228
535	113231	98021
536	113450	97816
537	113592	97545
538	113783	97317
539	113932	97053
540	114080	96789
541	114230	96526
542	114377	96262
543	114529	96002
544	114716	95772
545	114894	95534
546	115057	95285
547	115213	95030
548	115368	94774
549	115522	94518
550	115676	94262
551	115841	94016
552	116027	93786
553	116174	93526
554	116348	93288
555	116502	93034
556	116648	92774
557	116791	92512
558	116987	92292
559	117143	92041
560	117298	91789
561	117489	91566
562	117642	91313
563	117796	91062
564	118029	90872
565	118274	90691
566	118416	90431
567	118567	90178
568	118758	89955
569	118915	89708
570	119072	89460
571	119226	89211
572	119401	88978
573	119668	88813
574	119850	88585
575	120008	88339
576	120161	88090
577	120311	87839
578	120470	87596
579	120638	87358
580	120905	87193
581	121239	87076
582	121525	86923
583	121719	86704
584	121925	86494
585	122074	86244
586	122232	86000
587	122398	85761
588	122543	85510
589	122789	85328
590	122946	85084
591	123092	84833
592	123307	84631
593	123494	84408
594	123716	84210
595	123875	83969
596	124093	83768
597	124239	83518
598	124386	83270
599	124535	83023
600	124683	82776
601	124878	82560
602	125053	82332
603	125198	82084
604	125379	81859
605	125629	81679
606	125775	81432
607	126053	81271
608	126276	81074
609	126499	80876
610	126684	80654
611	126868	80432
612	127023	80192
613	127226	79982
614	127378	79741
615	127529	79498
616	127695	79266
617	127846	79025
618	127991	78780
619	128141	78538
620	128295	78299
621	128446	78059
622	128595	77817
623	128747	77578
624	128900	77340
625	129043	77096
626	129193	76856
627	129345	76618
628	129497	76380
629	129649	76143
630	129795	75902
631	129950	75667
632	130103	75431
633	130255	75195
634	130403	74956
635	130557	74721
636	130708	74485
637	130858	74248
638	131007	74012
639	131161	73778
640	131314	73544
641	131462	73307
642	131615	73074
643	131758	72835
644	131927	72611
645	132072	72374
646	132227	72142
647	132380	71910
648	132537	71680
649	132690	71448
650	132835	71212
651	133001	70988
652	133146	70753
653	133295	70520
654	133435	70283
655	133586	70051
656	133737	69820
657	133884	69587
658	134036	69357
659	134192	69129
660	134335	68895
661	134483	68663
662	134631	68432
663	134775	68199
664	134918	67966
665	135076	67740
666	135229	67513
667	135374	67282
668	135520	67051
669	135673	66824
670	135825	66597
671	135967	66365
672	136121	66139
673	136276	65914
674	136418	65682
675	136565	65454
676	136712	65226
677	136857	64997
678	137002	64768
679	137160	64546
680	137306	64318
681	137461	64094
682	137612	63869
683	137762	63644
684	137907	63417
685	138056	63191
686	138215	62971
687	138370	62749
688	138512	62521
689	138664	62298
690	138963	62141
691	139232	61970
692	139451	61777
693	139686	61590
694	139881	61387
695	140089	61188
696	140352	61013
697	140638	60849
698	140884	60666
699	141114	60477
700	141357	60293
701	141518	60074
702	141714	59870
703	141945	59681
704	142183	59495
705	142421	59308
706	142685	59132
707	142948	58956
708	143184	58768
709	143438	58587
710	143700	58410
711	143967	58233
712	144229	58056
713	144473	57870
714	144721	57686
715	144980	57506
716	145196	57309
717	145471	57135
718	145690	56939
719	145950	56758
720	146180	56566
721	146379	56362
722	146621	56174
723	146894	55998
724	147174	55824
725	147388	55625
726	147610	55429
727	147861	55244
728	148069	55043
729	148366	54875
730	148551	54665
731	148697	54440
732	148968	54262
733	149264	54092
734	149554	53921
735	149802	53733
736	149990	53524
737	150183	53317
738	150426	53127
739	150678	52941
740	150839	52722
741	151122	52546
742	151401	52368
743	151650	52180
744	151901	51993
745	152160	51808
746	152402	51616
747	152648	51427
748	152883	51233
749	153100	51033
750	153348	50843
751	153612	50659
752	153842	50463
753	154068	50266
754	154286	50066
755	154508	49867
756	154704	49660
757	154886	49449
758	155144	49261
759	155410	49076
760	155705	48900
761	155978	48717
762	156286	48545
763	156556	48360
764	156815	48172
765	157107	47993
766	157372	47806
767	157679	47632
768	157924	47438
769	158163	47243
770	158439	47059
771	158637	46851
772	158820	46639
773	159058	46443
774	159324	46255
775	159544	46054
776	159687	45830
777	159912	45630
778	160056	45407
779	160290	45210
780	160475	44999
781	160630	44779
782	160868	44582
783	161021	44362
784	161231	44159
785	161484	43966
786	161651	43750
787	161869	43548
788	162034	43332
789	162214	43120
790	162436	42919
791	162669	42721
792	162867	42513
793	163049	42302
794	163225	42089
795	163464	41892
796	163638	41679
797	163820	41468
798	164035	41265
799	164273	41068
800	164422	40848
801	164625	40643
802	164834	40438
803	165119	40253
804	165324	40047
805	165593	39857
806	165889	39673
807	166177	39487
808	166361	39277
809	166575	39073
810	166787	38869
811	167007	38666
812	167218	38462
813	167479	38269
814	167740	38076
815	167950	37871
816	168212	37677
817	168392	37466
818	168627	37266
819	168820	37058
820	169040	36855
821	169313	36664
822	169649	36485
823	169940	36297
824	170211	36105
825	170403	35896
826	170552	35677
827	170687	35456
828	170824	35236
829	171090	35042
830	171257	34828
831	171411	34611
832	171730	34428
833	171971	34229
834	172193	34026
835	172381	33816
836	172611	33614
837	172795	33404
838	173012	33200
839	173220	32994
840	173413	32785
841	173598	32575
842	173749	32359
843	173937	32149
844	174089	31933
845	174242	31717
846	174499	31521
847	174681	31310
848	174845	31097
849	175020	30886
850	175257	30685
851	175435	30474
852	175637	30268
853	175818	30057
854	175988	29845
855	176145	29632
856	176308	29419
857	176469	29205
858	176644	28995
859	176799	28781
860	176998	28574
861	177150	28360
862	177318	28149
863	177524	27943
864	177724	27737
865	177881	27524
866	178039	27311
867	178196	27098
868	178368	26888
869	178565	26682
870	178719	26469
871	178871	26256
872	179026	26043
873	179179	25831
874	179330	25618
875	179488	25407
876	179644	25195
877	179881	24994
878	180044	24784
879	180278	24583
880	180458	24375
881	180626	24165
882	180827	23960
883	181074	23760
884	181326	23562
885	181618	23368
886	181794	23159
887	181980	22952
888	182158	22744
889	182395	22543
890	182576	22335
891	182775	22129
892	183002	21927
893	183234	21725
894	183414	21517
895	183666	21318
896	183854	21111
897	184082	20909
898	184223	20696
899	184381	20486
900	184625	20286
901	184869	20085
902	185012	19873
903	185154	19662
904	185401	19462
905	185664	19263
906	185874	19058
907	186101	18856
908	186324	18652
909	186543	18449
910	186787	18248
911	187047	18048
912	187261	17844
913	187456	17638
914	187599	17427
915	187742	17216
916	187887	17006
917	188030	16795
918	188308	16597
919	188562	16396
920	188829	16197
921	189104	15997
922	189336	15795
923	189589	15593
924	189758	15385
925	189988	15182
926	190160	14974
927	190373	14770
928	190545	14562
929	190730	14356
930	190942	14151
931	191134	13945
932	191309	13738
933	191483	13530
934	191655	13323
935	191823	13116
936	191992	12908
937	192161	12701
938	192350	12495
939	192493	12286
940	192669	12080
941	192824	11872
942	193051	11669
943	193307	11467
944	193537	11264
945	193819	11063
946	194042	10859
947	194272	10656
948	194495	10452
949	194636	10244
950	194837	10038
951	195075	9835
952	195369	9635
953	195663	9434
954	195913	9231
955	196134	9027
956	196396	8824
957	196617	8619
958	196805	8414
959	196952	8206
960	197093	7998
961	197308	7793
962	197451	7586
963	197642	7380
964	197870	7176
965	198122	6973
966	198329	6768
967	198526	6562
968	198775	6359
969	199003	6154
970	199187	5948
971	199420	5744
972	199613	5539
973	199753	5332
974	199896	5125
975	200123	4921
976	200267	4714
977	200476	4509
978	200615	4303
979	200849	4098
980	200989	3892
981	201208	3688
982	201349	3482
983	201537	3277
984	201691	3071
985	201832	2865
986	201974	2660
987	202117	2454
988	202258	2249
989	202403	2044
990	202554	1839
991	202701	1634
992	202849	1429
993	202995	1225
994	203141	1020
995	203288	816
996	203434	612
997	203585	407
998	203731	203
999	203880	0
