iter	Logloss
0	0.3419535088
1	0.2257934073
2	0.1882378459
3	0.1678045549
4	0.1591417383
5	0.1501315093
6	0.1441588306
7	0.1388353982
8	0.1079029781
9	0.08280224328
10	0.08023497588
11	0.0760092227
12	0.07393323187
13	0.07240491226
14	0.06982056087
15	0.06823355483
16	0.0672983853
17	0.06622059005
18	0.06545141547
19	0.06493058709
20	0.06390608007
21	0.06368965437
22	0.06278819125
23	0.06213483006
24	0.06113073554
25	0.0606111032
26	0.06052331178
27	0.06031483084
28	0.06016299372
29	0.05965687197
30	0.05940601026
31	0.05897958529
32	0.05883423648
33	0.05876290645
34	0.0584963669
35	0.0578926894
36	0.0578252778
37	0.05742177177
38	0.05726898834
39	0.05685414751
40	0.05634752041
41	0.05619178995
42	0.05584009172
43	0.05579015743
44	0.05566808039
45	0.05540908927
46	0.05533363046
47	0.05516132388
48	0.05502508497
49	0.05497916954
50	0.05489751502
51	0.05475000111
52	0.05466782202
53	0.05453467723
54	0.05449296129
55	0.05441001429
56	0.05433751453
57	0.05414120098
58	0.05401319435
59	0.05389849453
60	0.05374801888
61	0.05365964346
62	0.05361249178
63	0.05352582526
64	0.05348372534
65	0.0533746063
66	0.05333043338
67	0.05318560636
68	0.0531416857
69	0.05295173992
70	0.05289396233
71	0.05277637758
72	0.05274150635
73	0.05270214947
74	0.0525713938
75	0.05242992256
76	0.05238302235
77	0.05234397725
78	0.05218028053
79	0.05212295921
80	0.05208944477
81	0.05200917928
82	0.05192531554
83	0.05188037709
84	0.05185021723
85	0.05181368178
86	0.05178268586
87	0.05175678265
88	0.05170962206
89	0.05157378361
90	0.05154317919
91	0.05151997154
92	0.05144875066
93	0.05141684013
94	0.05132135987
95	0.05124889214
96	0.05118282589
97	0.05115834227
98	0.05107473914
99	0.05104964559
100	0.05102624496
101	0.05099809445
102	0.05095761948
103	0.05093937821
104	0.050829388
105	0.05079736196
106	0.05077651138
107	0.05073971431
108	0.05071949633
109	0.05067533238
110	0.05065092049
111	0.05060211011
112	0.05054159702
113	0.05050190237
114	0.05047549083
115	0.0504489368
116	0.05042533879
117	0.05038852296
118	0.05036331704
119	0.05032690916
120	0.05031094002
121	0.05027464639
122	0.05024022515
123	0.05020740249
124	0.05017077056
125	0.0501324267
126	0.05009315552
127	0.05006761144
128	0.05003599521
129	0.04999817226
130	0.04997412637
131	0.04997407413
132	0.04993267468
133	0.04990649149
134	0.04988923148
135	0.04985921152
136	0.04983063741
137	0.04980163758
138	0.04976995878
139	0.0497494488
140	0.04973430068
141	0.04972060123
142	0.04970223294
143	0.04964480532
144	0.04961165751
145	0.04956467919
146	0.04952973123
147	0.04949735281
148	0.04948111362
149	0.04947177394
150	0.04944399752
151	0.0494161625
152	0.04939514021
153	0.04937418678
154	0.04937416597
155	0.04936252756
156	0.04932597942
157	0.04928490196
158	0.0492686075
159	0.04923903978
160	0.04922818644
161	0.04920185349
162	0.049163552
163	0.04914196343
164	0.04911332047
165	0.04908629759
166	0.04901650305
167	0.04895257354
168	0.04890604835
169	0.04881958793
170	0.04879538313
171	0.04875231163
172	0.04872801698
173	0.04866450209
174	0.04864355507
175	0.04858515064
176	0.04854142825
177	0.04851819934
178	0.04849937797
179	0.04848460391
180	0.04845867992
181	0.04843859176
182	0.048421619
183	0.04839049361
184	0.04836815781
185	0.04832428835
186	0.04832415508
187	0.04832415508
188	0.04832389019
189	0.048323836
190	0.04832377036
191	0.04832350893
192	0.04830483407
193	0.04827338704
194	0.04825321781
195	0.04823472533
196	0.04822024197
197	0.0482021689
198	0.04817332882
199	0.04814895611
200	0.04811563553
201	0.04808222413
202	0.04806743718
203	0.0480562704
204	0.04803725138
205	0.04799610691
206	0.04799606177
207	0.04799605051
208	0.04799603925
209	0.04799603925
210	0.047962719
211	0.04793618675
212	0.04791396177
213	0.04789619287
214	0.04788127181
215	0.04785916832
216	0.04785916832
217	0.04785010571
218	0.04783064862
219	0.04782443588
220	0.04779878556
221	0.04777326172
222	0.04773456533
223	0.04770260252
224	0.04766676672
225	0.04764512188
226	0.0476204224
227	0.04758880812
228	0.04758873117
229	0.04757841605
230	0.04756179652
231	0.04752957042
232	0.0475203221
233	0.04752029762
234	0.04751938101
235	0.0475186853
236	0.04750699015
237	0.04750600722
238	0.04749117606
239	0.04745885143
240	0.04744899648
241	0.0474430018
242	0.0474430018
243	0.04744288699
244	0.04744279411
245	0.04742812443
246	0.04739983432
247	0.04738855697
248	0.04736013598
249	0.0473509775
250	0.04732907624
251	0.04727863313
252	0.04726600361
253	0.04725333224
254	0.04723788089
255	0.04721022454
256	0.0471906107
257	0.04717848008
258	0.047177518
259	0.0471773786
260	0.0471773786
261	0.04715811669
262	0.04712461276
263	0.04710471751
264	0.04707219476
265	0.04705146484
266	0.04703308332
267	0.04703303982
268	0.04703299637
269	0.04702305613
270	0.04700459386
271	0.04697630366
272	0.04695212546
273	0.04691886521
274	0.04691877857
275	0.04691873734
276	0.04691805985
277	0.04691155512
278	0.04691149856
279	0.04688466093
280	0.04686600608
281	0.04686600608
282	0.04686592596
283	0.04686588799
284	0.04686586395
285	0.0468658007
286	0.04686577529
287	0.04685865844
288	0.04682586927
289	0.04681120782
290	0.04681118971
291	0.04681110671
292	0.04681108863
293	0.04681107056
294	0.04681107056
295	0.04681105952
296	0.04681104148
297	0.04681104148
298	0.04681102705
299	0.04681094885
300	0.04681094885
301	0.04681093082
302	0.04681089482
303	0.0468108589
304	0.04679608252
305	0.04679600008
306	0.04679592237
307	0.04679584501
308	0.04679584501
309	0.04678908193
310	0.04678906263
311	0.04678904335
312	0.0467890241
313	0.04678900269
314	0.04678896395
315	0.04678892561
316	0.04678890648
317	0.04678888736
318	0.04678871764
319	0.04678869841
320	0.04678865633
321	0.04678861824
322	0.0467885991
323	0.04678858029
324	0.04678856224
325	0.04678854346
326	0.04678852471
327	0.04678850565
328	0.04678850565
329	0.04678850565
330	0.04678850565
331	0.04678850565
332	0.04678850565
333	0.04678848694
334	0.04678846825
335	0.04678844957
336	0.04678844957
337	0.04678844957
338	0.04678842345
339	0.04678842345
340	0.04678842345
341	0.04678842345
342	0.04678842345
343	0.04678842345
344	0.04677308614
345	0.04676610436
346	0.04674390354
347	0.04674390354
348	0.04674390354
349	0.04674390354
350	0.04674390354
351	0.04674383439
352	0.04674383439
353	0.04674383439
354	0.04674383439
355	0.04674383439
356	0.0467335617
357	0.04671953758
358	0.04671085145
359	0.04668770891
360	0.04668770891
361	0.04668770891
362	0.04666655422
363	0.04663799134
364	0.04660799214
365	0.04660797025
366	0.0466079559
367	0.0465906368
368	0.04658219318
369	0.04657085834
370	0.04654526455
371	0.04652036722
372	0.04650115473
373	0.04649801823
374	0.04649799613
375	0.04649793878
376	0.04649787758
377	0.04649781651
378	0.04649757323
379	0.04649751648
380	0.04649745618
381	0.04649745618
382	0.04649745618
383	0.04649744204
384	0.04649738189
385	0.04649732189
386	0.04649726202
387	0.04649724794
